Teams,Win,color1
Atlanta Hawks,1,#E03A3E
Boston Celtics,17,#007a33
Brooklyn Nets,0,#000
Charlotte Hornets ,0,#1D1160
Chicago Bulls,6,#CE1141
Cleveland Cavaliers,1,#6f263d
Dallas Mavericks,1,#00538C
Denver Nuggets,0,#00285E
Detroit Pistons,3,#ED174C
Golden State Warriors,6,#006BB6
Houston Rockets,2,#ce1141
Indiana Pacers,0,#002D62
Los Angeles Clippers,0,#ED174C
Los Angeles Lakers,17,#552583
Memphis Grizzlies,0,#6189B9
Miami Heat,3,#98002e
Milwaukee Bucks,1,#00471b
Minnesota Timberwolves,0,#0c2340
New Orleans Pelicans,0,#002b5c
New York Knicks,2,#006BB6
Oklahoma City Thunder,1,#007AC1
Orlando Magic,0,#0057b8
Philadelphia 76ers,3,#006BB6
Phoenix Suns,0,#1D1160
Portland Trail Blazers,1,#E03A3E
Sacramento Kings,1,#5A2D81
San Antonio Spurs,5,#000
Toronto Raptors,1,#CE1141
Utah Jazz,0,#002B5C
Washington Wizards,1,#002B5C